id	speed	density	flow
-183	65.000000	0.059189	1.695264
-184	65.000000	0.060321	1.690132
-185	65.000000	0.059248	1.684997
-186	65.000000	0.053798	1.545328
-187	65.000000	0.047761	1.383829
-188	65.000000	0.050396	1.403776
-189	65.000000	0.049223	1.397177
-190	65.000000	0.044719	1.390834
-191	65.000000	0.041487	1.384803
-192	65.000000	0.055176	1.265690
-193	65.000000	0.044493	1.258969
-194	65.000000	0.044832	1.276443
-195	65.000000	0.044806	1.272027
-196	65.000000	0.044793	1.268072
-197	65.000000	0.040588	1.156388
-198	65.000000	0.040628	1.154373
-199	65.000000	0.053480	1.508455
-200	65.000000	0.042979	1.250461
-201	65.000000	0.042859	1.251262
-202	65.000000	0.043167	1.253258
-203	65.000000	0.036441	1.080814
-204	65.000000	0.022093	0.625577
-205	65.000000	0.024868	0.667416
-206	65.000000	0.022300	0.672008
-207	65.000000	0.024036	0.685862
-208	65.000000	0.023636	0.691976
-209	65.000000	0.024992	0.698948
-210	65.000000	0.024528	0.706221
-211	65.000000	0.024815	0.713941
-212	65.000000	0.025450	0.722181
-213	65.000000	0.024818	0.730478
-214	65.000000	0.030050	0.693760
-215	65.000000	0.018409	0.700120
-216	65.000000	0.024618	0.708846
-217	65.000000	0.024875	0.717747
-218	65.000000	0.025394	0.726937
-219	65.000000	0.025383	0.736202
-220	65.000000	0.032253	0.819141
-221	65.000000	0.024911	0.829338
-222	65.000000	0.018654	0.520191
-223	65.000000	0.015684	0.528225
-224	65.000000	0.030092	0.648005
-225	65.000000	0.027093	0.660305
-226	65.000000	0.027528	0.672859
-227	65.000000	0.019924	0.489142
-228	65.000000	0.020340	0.581148
-229	65.000000	0.015320	0.437641
-230	65.000000	0.012354	0.446363
-231	65.000000	0.012781	0.454850
-232	65.000000	0.019295	0.391629
-233	65.000000	0.014039	0.401864
-234	65.000000	0.017257	0.379826
-235	65.000000	0.011276	0.385773
-236	65.000000	0.011814	0.391876
-237	65.000000	0.013943	0.398786
-238	65.000000	0.013855	0.405538
-239	65.000000	0.014542	0.412424
-240	65.000000	0.014740	0.419193
-241	65.000000	0.014933	0.425845
-242	65.000000	0.021564	0.559280
-243	65.000000	0.017354	0.566479
-244	65.000000	0.020031	0.574745
-245	65.000000	0.016247	0.473989
-246	65.000000	0.013647	0.479797
-247	65.000000	0.016638	0.361726
-248	65.000000	0.013719	0.367024
-249	65.000000	0.017292	0.493265
-250	65.000000	0.017561	0.500289
-251	65.000000	0.017715	0.507026
-252	65.000000	0.017838	0.513459
-253	65.000000	0.018168	0.519659
-254	65.000000	0.018325	0.525563
-255	65.000000	0.018471	0.531174
-256	65.000000	0.018719	0.536530
-257	65.000000	0.018386	0.541490
-258	65.000000	0.019014	0.546323
-259	65.000000	0.019275	0.550945
-260	65.000000	0.019473	0.555361
-261	65.000000	0.019546	0.559565
-262	65.000000	0.021149	0.602327
